,tweet_id,favorites,retweet_count
1702,817423860136083457,35631,15739
1703,817536400337801217,12330,3181
1704,817777686764523521,11215,2849
1705,817827839487737858,54151,28761
1706,818145370475810820,12825,2736
1707,818259473185828864,11518,2415
1708,818536468981415936,11403,2619
1709,818588835076603904,0,6517
1710,818614493328580609,10301,2731
1711,818627210458333184,23353,7956
1712,819004803107983360,90686,38949
1713,819006400881917954,47250,20026
1714,819015331746349057,0,20026
1715,819015337530290176,0,38949
1716,819227688460238848,24124,7105
1717,819347104292290561,7538,1274
1718,819588359383371776,10014,2088
1719,819711362133872643,14038,3302
1720,819924195358416896,13465,5141
1721,819952236453363712,5559,1254
1722,820078625395449857,20686,6628
1723,820314633777061888,3481,601
1724,820446719150292993,0,2717
1725,820690176645140481,12739,3410
1726,820749716845686786,32909,10446
1727,821044531881721856,13204,2423
1728,821107785811234820,10009,2247
1729,821149554670182400,9076,2122
1730,821407182352777218,12290,4579
1731,821522889702862852,8374,1874
1732,821765923262631936,8776,1746
1733,821813639212650496,0,3532
1734,821886076407029760,11821,2459
1735,822244816520155136,36501,10414
1736,822462944365645825,29522,15344
1737,822489057087389700,18927,6752
1738,822610361945911296,15413,3123
1739,822647212903690241,0,6752
1740,822859134160621569,13813,2415
1741,822872901745569793,137531,45957
1742,822975315408461824,18020,3629
1743,823269594223824897,0,10414
1744,823322678127919110,16397,4245
1745,823581115634085888,13567,2785
1746,823699002998870016,14498,2653
1747,823939628516474880,11073,2867
1748,824297048279236611,15679,4069
1749,824325613288833024,12283,11006
1750,824663926340194305,10494,1830
1751,824775126675836928,15547,3709
1752,824796380199809024,0,5793
1753,825026590719483904,6593,1353
1754,825147591692263424,19039,4790
1755,825535076884762624,54256,18166
1756,825829644528148480,13247,2617
1757,825876512159186944,10876,1976
1758,826115272272650244,16283,3301
1759,826204788643753985,5066,975
1760,826240494070030336,13801,2733
1761,826476773533745153,19154,4435
1762,826598365270007810,10454,2472
1763,826848821049180160,37833,10734
1764,826958653328592898,22409,5276
1765,827199976799354881,10979,2360
1766,827324948884643840,16444,3209
1767,827600520311402496,7689,991
1768,827653905312006145,16055,3160
1769,827933404142436356,20882,5500
1770,828011680017821696,10751,2260
1771,828046555563323392,12202,3010
1772,828372645993398273,13039,3099
1773,828376505180889089,7669,1124
1774,828381636999917570,13105,2336
1775,828408677031882754,7965,1359
1776,828409743546925057,6561,1215
1777,828650029636317184,9870,1419
1778,828708714936930305,37939,11797
1779,828770345708580865,26515,6162
1780,829011960981237760,55018,17096
1781,829141528400556032,25362,7751
1782,829449946868879360,10858,2120
1783,829501995190984704,32916,11145
1784,829861396166877184,12674,2054
1785,829878982036299777,0,5276
1786,830097400375152640,10181,3124
1787,830583320585068544,69268,17598
1788,830956169170665475,8254,1565
1789,831262627380748289,12336,2139
1790,831309418084069378,12154,2570
1791,831315979191906304,6763,1172
1792,831322785565769729,9563,1611
1793,831552930092285952,9301,2407
1794,831650051525054464,7431,2029
1795,831670449226514432,10812,1897
1796,831911600680497154,28613,6814
1797,831939777352105988,24808,6415
1798,832032802820481025,18458,4875
1799,832040443403784192,0,10107
1800,832215726631055365,0,9798
1801,832273440279240704,11704,2446
1802,832369877331693569,17758,3336
1803,832397543355072512,12336,2318
1804,832636094638288896,16385,2911
1805,832757312314028032,17387,3784
1806,832769181346996225,0,39
1807,832998151111966721,13729,2310
1808,833124694597443584,20872,5051
1809,833479644947025920,15340,2137
1810,833722901757046785,21439,3355
1811,833826103416520705,18606,3908
1812,833863086058651648,13861,2502
1813,834086379323871233,13480,2303
1814,834167344700198914,16302,3804
1815,834209720923721728,21275,4976
1816,834458053273591808,9930,1758
1817,834574053763584002,14112,2648
1818,834786237630337024,21919,5725
1819,834931633769889797,11172,1722
1820,835152434251116546,23172,3152
1821,835172783151792128,26977,5993
1822,835264098648616962,7968,1777
1823,835297930240217089,16959,3124
1824,835574547218894849,18354,3768
1825,836001077879255040,19679,4450
1826,836260088725786625,21940,4462
1827,836380477523124226,15208,3097
1828,836677758902222849,12991,2309
1829,836753516572119041,19877,4818
1830,836989968035819520,13105,2383
1831,837110210464448512,16531,2477
1832,837471256429613056,13174,2364
1833,837482249356513284,3945,460
1834,837820167694528512,35176,8174
1835,838083903487373313,18137,3272
1836,838476387338051585,23232,4974
1837,838561493054533637,11239,1378
